Date,Aeroporto Santos Dumont,Afonso deTaunay,Afrânio,Albamar,Alegrete,Alfa Barra,Almirante Barroso,Anchieta,Antero de Quental,Aníbal de Mendonça,AquaRio,Artur Bernardes,Assunção,Athaydeville,BLV. 28 de Setembro 157,BLV. 28 de Setembro 341,BRT Bosque da Barra,BRT Lourenço Jorge,BRT Salvador Allende,Bairro Peixoto,Bairro de Fátima,Baixo Gávea,Barra Business Center,Barra Garden,Barra Summer Dream,Barra World,Belisário Leite,Beneficência Portuguesa,Borges de Medeiros,Bosque da Barra,Bossa Nova Mall,Buenos Aires,Buraco do Lume,Caiçaras,Cantagalo,Cardeal Arcoverde,Central do Brasil,Centro Administrativo,Churchil,Cine Leblon,Cine Roxy,Cinelândia,Circo Voador,Cobal,Colégio Militar,Condessa Paulo de Frontin,Conselheiro Lafaiete,Constante Ramos,Copacabana Palace,Dias Ferreira,Dias da Rocha,Dulcídio Cardoso 3080,Edifício Argentina,Epitácio Pessoa,Epitácio Pessoa 4224,Epitácio Pessoa 4794,Esplanada da Barra,Estação de Bondes,Estácio,Estádio Célio de Barros,Fashion Mall,Fernandes Guimarães,Ferreira Viana,Furnas,Fórum,Fórum da Barra,Gaffrée e Guinle,Garcia D´Ávila,Gastão Sengés,Genaro de Carvalho,General Ivan Raposo,General Osório,General Polidoro,General Urquiza,Gláucio Gil,Gláucio Gil Praia,Golden Green,Gomes Freire,Grande Canal,Guanabara,Guilhermina Guinle,Hospital Lourenço Jorge,Hotel Glória,Humaitá,IED Urca,Iate Clube,Jardim Botânico,Jardim de Alah,Joaquim Nabuco,José Linhares,La Place,Lagoa - Vasco da Gama,Largo da Carioca,Largo da Glória,Largo da Memória,Largo da Segunda Feira,Largo de São Francisco,Largo do Machado,Lauro Muller,Lavradio,Leila Diniz,Leopoldina,Lúcio Costa 17194,Lúcio Costa 3646,Lúcio Costa 4500,Lúcio Costa 5750,Lúcio Costa 6200,MAM,MAR,Maison de France,Mandala,Maracanãzinho,Maria Angelica,Maria Quitéria,Marquês de Abrantes,Mata Machado,Maxwell,Menezes Cortes,Metrô Afonso Pena,Metrô Botafogo,Metrô Cidade Nova,Metrô Flamengo,Metrô Saens Peña,Metrô São Francisco Xavier,Metrô Uruguai,Metrô Uruguaiana,Miguel Lemos,Ministro Afrânio Costa,Morais e Silva,Mourisco Mar,Muniz Barreto,Museu do Amanhã,NYC Center,Oi Futuro,Olegário Maciel,Olyntho Pillar,Oswaldo Cruz,Pacheco Leão,Pacheco Leão - Horto,Palácio Guanabara,Palácio do Catete,Parada dos Navios,Parque Chico Mendes,Parque Guinle,Parque Lage,Parque Madureira I,Parque Madureira II,Parque Madureira III,Parque Madureira IV,Parque Madureira V,Parque Marapendi,Parque da Catacumba,Parque das Figueiras,Parque dos Patins,Pedra do Arpoador,Pedra do Leme,Península 1,Península 2,Pereira da Silva,Pinheiro Guimarães,Pomar da Barra,Posto 6,Posto 9,Posto 9 Barra,Praca Tiradentes,Praca da República,Praia do Pepê,Praça Cazuza,Praça Joia Valansi,Praça Lamartine Babo,Praça Luís de Camões,Praça Miguel Osório,Praça Nicarágua,Praça Niterói,Praça Pimentinha,Praça Pio X,Praça Procópio Ferreira,Praça Sibélius,Praça São Conrado,Praça São Judas Tadeu,Praça São Salvador,Praça Varnhagem,Praça XV,Praça Xavier de Brito,Praça da Bandeira,Praça da Cruz Vermelha,Praça da Medalha Milagrosa,Praça do Lido,Praça do Ó,Princesa Isabel,Professor Souza Araújo,Pão de Açucar,Quebra Mar,Quitanda,Radisson,Real Grandeza,Relação,Rio Sul,Rosário,Rua da Passagem,Rua do Catete,SESC Tijuca,Saint Tropez,Sala Cecília Meireles,Santa Clara,Santa Clara 98,Santa Marta,Santana,Sebastião Lacerda,Selva de Pedra,Serzedelo Correa,Shopping Tijuca,Shopping da Gávea,Siqueira Campos,Sorocaba,Souza Lima,Sá Ferreira,São Clemente,São Conrado,TRT Lavradio,Tamoios,Teresa Guimarães,Terminal PUC,Toneleros,Túnel Novo,Túnel Velho,UERJ,UFRJ Praia Vermelha,UNIRIO,Utopia,Veiga de Almeida,Vinícius de Moraes,Visconde de Albuquerque,Visconde de Caravelas,Viúva Lacerda,Voluntários da Pátria,Windsor Barra,Zoila de Abreu
2017-10-05 16:33:39,4,1,2,0,0,5,2,1,1,2,1,0,2,2,9,4,6,1,3,1,1,0,4,-5,9,4,4,0,4,1,3,3,2,2,4,9,13,1,0,0,2,4,0,2,3,1,7,4,0,2,1,4,2,0,4,0,2,0,2,2,9,0,8,3,0,0,3,2,7,5,-5,2,1,0,2,2,1,2,0,3,1,2,4,3,2,1,2,3,9,5,2,0,2,1,0,0,0,4,0,0,1,4,3,3,6,6,2,2,3,0,4,2,4,1,1,5,2,0,1,0,2,0,4,0,3,0,4,0,4,1,0,2,3,6,4,2,1,0,0,0,0,1,1,0,1,2,1,0,4,7,5,0,1,5,12,4,3,4,0,1,3,9,1,1,1,0,5,0,1,0,3,4,0,1,0,2,3,0,10,0,1,7,8,0,-5,0,5,6,0,1,1,1,2,2,1,4,0,3,0,0,1,1,0,1,13,1,4,0,0,4,5,3,1,0,1,-2,0,1,10,0,1,2,0,0,3,0,5,2,0,2,2,1,5,2,0,1,3,3
2017-10-05 16:35:39,4,1,2,0,0,5,2,0,1,1,1,0,2,2,9,4,6,1,3,1,1,0,4,-5,9,4,4,0,4,1,3,3,2,2,5,9,13,1,0,0,2,4,0,2,3,1,7,3,0,2,1,4,2,0,4,0,2,0,2,2,9,0,8,3,0,0,3,2,7,5,-5,2,1,0,2,2,1,2,0,3,1,2,4,3,1,1,2,3,9,5,2,0,2,1,0,0,0,4,0,0,1,4,3,3,6,6,2,2,2,0,4,2,4,1,1,5,2,0,1,0,2,0,4,0,3,0,4,1,4,1,0,2,3,6,1,2,1,0,0,0,0,0,1,0,1,2,1,0,4,7,5,0,1,5,12,2,3,4,0,1,3,9,1,0,1,0,5,0,1,0,3,4,0,1,0,2,3,0,10,0,1,7,8,0,-5,0,5,5,0,1,0,1,3,2,1,4,0,3,0,0,1,1,0,1,13,1,4,0,0,4,5,3,1,0,1,-2,0,1,10,0,1,2,0,0,3,0,5,2,1,2,2,1,5,1,0,1,3,3
2017-10-05 16:37:39,4,1,2,0,0,5,2,1,1,1,1,0,2,2,9,4,6,1,3,1,1,0,4,-5,9,4,4,0,4,1,3,3,2,2,4,9,13,1,0,0,2,3,0,2,3,1,5,3,0,2,1,4,2,0,4,0,2,0,1,1,9,0,8,3,0,0,3,2,7,5,-5,2,1,0,2,2,1,2,0,3,1,2,4,3,1,1,2,3,9,5,2,0,2,1,0,0,0,3,0,0,1,4,3,3,6,6,2,2,1,0,4,2,4,1,1,5,1,0,1,0,1,0,4,0,3,0,5,1,4,1,0,2,3,6,1,2,1,0,0,0,0,0,1,0,1,2,1,0,4,7,5,0,1,5,12,2,3,4,0,1,3,10,2,1,1,0,5,0,1,0,3,4,0,1,0,2,3,0,10,0,1,7,8,0,-5,0,5,5,1,1,1,1,2,2,1,4,0,3,0,0,1,1,0,1,13,2,4,0,0,4,5,3,1,0,1,-2,0,1,10,0,1,2,0,0,3,0,5,2,0,2,2,1,5,3,0,1,3,3
2017-10-05 16:39:39,4,0,2,0,0,5,2,1,1,1,2,0,2,2,9,4,6,1,3,1,1,0,4,-5,11,4,4,0,4,1,3,3,2,2,4,9,13,1,0,0,2,3,0,2,3,0,5,3,0,2,1,4,2,0,4,0,2,0,1,1,9,1,8,3,0,0,3,2,7,5,-5,2,1,0,2,2,1,2,0,3,1,2,4,2,1,1,2,3,9,5,2,0,1,1,0,0,0,4,0,0,1,4,3,3,6,7,2,2,1,1,4,2,4,1,1,5,2,0,1,0,1,0,4,0,3,0,5,1,4,1,0,2,2,6,1,2,1,0,0,0,0,0,1,0,1,2,1,0,4,6,5,0,1,4,12,2,3,4,0,1,3,10,2,0,1,0,5,1,1,0,3,4,0,1,0,2,4,0,10,0,1,7,8,0,-5,0,5,5,0,1,0,0,2,2,1,4,0,3,0,0,1,1,0,1,13,2,4,0,0,4,4,4,1,0,1,-2,0,1,11,0,1,2,0,0,3,0,5,1,0,2,2,1,5,2,0,1,3,3
2017-10-05 16:41:39,4,0,2,0,0,5,2,1,1,1,2,0,2,2,9,4,6,1,3,1,1,0,4,-5,11,4,4,0,4,1,3,3,2,2,4,10,13,1,0,0,2,3,0,2,3,0,3,3,1,2,1,4,2,0,4,0,2,0,1,1,9,2,8,3,0,0,3,2,7,5,-5,1,1,0,2,2,1,2,0,3,1,2,4,2,1,0,2,3,11,4,2,0,1,1,0,0,0,4,0,0,1,4,3,3,6,6,2,2,0,1,4,2,4,1,1,5,2,0,1,0,1,0,4,0,3,0,5,1,4,1,0,2,2,6,1,2,1,0,0,0,0,0,1,0,1,2,1,0,4,7,5,0,1,5,10,2,3,4,0,1,3,10,2,1,1,0,5,1,1,0,4,4,0,1,0,2,5,0,10,0,1,7,9,0,-5,0,5,5,0,3,0,0,2,2,1,4,0,3,0,0,0,1,0,0,13,2,4,0,0,4,4,4,1,0,1,-2,0,1,11,0,1,2,0,0,2,0,5,1,0,2,2,1,4,3,0,1,3,3
2017-10-05 16:43:39,4,0,2,0,0,5,2,1,1,1,2,0,2,2,9,4,6,1,3,1,3,0,4,-5,11,4,4,0,4,1,3,3,2,2,4,11,13,1,0,0,2,3,0,3,3,0,4,3,1,2,1,4,2,0,3,0,2,0,1,1,9,2,8,2,0,0,3,2,7,5,-5,0,1,0,2,2,1,2,2,3,1,2,4,1,1,0,2,3,10,3,2,0,1,1,0,0,1,3,0,0,1,4,4,3,6,6,2,2,0,1,4,2,4,1,0,5,2,0,1,0,1,0,4,0,3,0,4,1,4,1,0,2,3,6,1,2,1,0,0,0,0,0,1,0,1,1,1,0,4,7,5,0,0,4,9,2,3,4,0,1,3,8,2,0,0,0,5,1,1,0,4,4,0,1,0,2,6,0,10,0,1,7,10,0,-5,1,5,5,0,2,0,0,2,2,1,4,0,4,0,0,0,0,0,0,13,2,4,0,0,4,4,4,1,0,1,-5,0,1,11,0,1,2,0,0,2,0,4,1,0,2,2,1,4,3,0,1,3,3
2017-10-05 16:45:39,4,0,2,0,0,5,1,1,1,1,2,0,1,2,9,4,6,1,3,1,3,0,4,-5,11,4,4,0,4,1,3,3,2,2,4,11,13,1,0,0,2,3,0,3,3,0,4,3,1,2,1,4,2,0,3,0,2,0,1,1,9,2,7,2,0,0,3,2,7,5,-5,0,1,0,2,2,1,2,2,3,1,2,4,1,1,1,2,3,10,3,2,0,1,1,0,0,1,3,0,0,1,4,4,3,6,7,2,2,0,1,4,2,4,1,0,5,2,0,1,0,1,0,4,0,3,0,5,1,4,1,0,2,2,6,1,2,1,0,0,0,0,0,1,0,1,1,1,0,4,7,5,0,1,4,7,2,3,4,0,1,3,9,2,0,1,0,5,1,1,0,4,4,0,1,0,2,8,0,10,0,1,7,10,0,-5,2,5,5,0,1,0,0,2,1,1,3,0,4,0,0,0,0,0,0,13,1,4,0,0,4,4,4,1,1,1,-5,0,1,11,0,1,2,0,0,2,0,4,1,0,2,2,1,3,2,0,1,4,3
2017-10-05 16:47:39,4,0,2,0,0,5,1,1,1,1,2,0,1,2,9,4,6,1,3,0,3,0,4,-5,11,4,4,0,4,1,3,3,2,2,4,11,13,1,0,0,2,3,0,3,3,0,5,3,1,2,1,4,2,0,3,0,2,0,1,1,9,2,7,2,0,0,3,2,7,5,-5,0,1,0,2,2,1,3,2,3,1,2,4,1,1,1,2,3,9,3,2,0,2,0,0,0,1,3,0,0,1,4,3,3,6,7,2,2,0,1,4,2,4,1,0,5,2,0,1,0,1,0,4,0,4,0,5,1,3,2,0,2,2,6,1,2,1,0,0,0,0,0,1,0,1,2,1,0,4,7,5,0,1,4,8,2,3,4,0,1,3,10,2,1,1,0,5,1,1,0,4,4,0,1,0,1,8,0,10,0,1,7,11,0,-5,2,5,5,0,1,0,0,4,1,1,3,0,4,0,0,0,0,0,0,13,2,4,0,0,4,4,4,1,1,1,-5,0,1,11,0,1,2,0,0,2,0,4,1,0,2,2,1,4,2,0,0,4,3
2017-10-05 16:49:39,4,0,2,0,0,5,1,1,1,1,2,0,1,2,9,4,6,1,3,0,3,0,4,-5,11,4,4,0,4,1,3,3,2,2,4,11,13,1,0,0,2,3,0,3,3,0,3,2,1,2,1,4,2,0,3,0,2,0,1,1,9,2,7,3,0,0,3,2,7,5,-5,1,1,0,2,2,1,2,2,3,1,2,4,1,1,1,2,3,9,3,2,0,1,0,-5,0,1,4,0,0,1,4,4,3,6,7,2,2,0,2,4,2,4,1,0,5,2,0,1,0,1,0,4,0,4,0,5,1,3,2,0,2,3,6,1,2,1,0,0,0,0,0,1,0,1,2,1,0,4,7,4,0,1,4,12,2,3,4,0,0,3,9,2,1,1,0,5,1,1,0,4,4,0,1,0,1,8,0,10,0,1,7,10,0,-5,2,5,4,0,2,0,0,4,1,1,3,0,4,0,0,0,0,0,0,13,1,4,0,0,4,4,4,1,1,1,-5,0,1,11,0,1,2,0,0,2,0,4,1,0,3,2,1,3,2,0,0,3,3
2017-10-05 16:51:39,4,0,2,0,0,5,1,1,1,1,2,0,0,2,9,4,6,1,3,0,4,0,4,-5,11,4,4,0,4,1,3,3,3,2,4,11,13,1,0,0,2,3,0,3,3,0,3,2,1,2,1,4,2,0,3,0,2,0,1,1,9,2,7,3,0,0,3,2,7,5,-5,1,1,0,2,2,1,3,2,3,1,2,4,1,1,0,-5,3,7,3,2,0,1,0,-5,0,1,4,0,0,1,4,4,3,6,7,2,2,1,1,4,2,4,1,0,5,2,0,1,0,1,0,4,0,4,0,5,1,4,3,0,2,2,6,1,2,1,0,0,0,0,0,1,0,1,2,1,0,4,7,4,0,1,4,9,2,3,4,0,0,2,9,2,2,0,0,5,1,1,1,4,4,0,1,0,1,8,0,10,0,1,7,9,0,-5,2,5,4,0,1,0,0,4,1,1,2,0,4,0,0,0,0,0,0,13,1,4,0,0,4,4,4,1,0,1,-5,0,1,11,0,1,2,0,0,1,0,4,1,0,3,2,1,3,2,0,0,3,3
2017-10-05 16:53:39,4,0,2,0,0,5,1,1,1,1,2,0,0,2,9,4,6,1,3,0,5,0,4,-5,11,5,4,0,4,1,3,2,3,2,4,10,13,1,0,0,2,3,0,3,3,0,4,2,1,2,1,4,2,0,3,0,2,0,1,1,9,2,7,3,0,0,3,2,7,5,-5,1,1,0,2,2,1,3,2,3,1,2,4,1,2,0,-5,3,7,3,2,0,1,0,-5,0,1,4,0,0,1,4,4,4,6,7,2,2,1,1,4,2,4,1,0,5,2,0,1,0,1,0,3,0,3,0,4,1,4,3,0,2,2,6,1,2,0,0,0,0,0,0,1,0,1,2,1,0,4,6,4,0,1,4,9,2,3,4,0,0,1,9,2,1,0,0,5,1,1,1,4,4,0,1,0,1,8,0,10,0,1,7,9,0,-5,2,5,4,2,2,0,0,4,1,2,2,0,4,0,0,0,0,0,0,13,1,4,0,0,4,4,4,1,0,1,-5,0,1,11,0,1,2,0,0,1,0,2,1,0,3,2,1,3,3,0,0,3,3
2017-10-05 16:55:39,4,0,2,0,0,5,1,1,1,1,2,0,0,2,9,4,6,1,3,0,6,0,4,-5,11,5,4,0,4,1,3,1,3,2,4,7,13,1,0,0,2,2,0,3,3,0,4,0,1,2,1,4,2,0,3,0,2,0,1,1,9,2,6,3,0,0,3,2,7,5,-5,1,1,0,2,2,1,2,2,3,1,2,4,1,2,0,-5,3,7,3,2,0,1,0,-5,0,2,4,0,0,1,4,4,4,6,7,2,2,1,1,4,2,4,1,0,5,2,0,1,0,1,0,3,0,3,0,5,1,4,3,0,2,3,6,1,2,0,0,0,0,0,0,1,0,1,2,1,0,4,6,4,0,1,4,10,2,3,4,0,0,1,9,2,2,0,0,5,1,1,1,4,4,0,1,0,1,9,0,10,0,1,7,9,0,-5,3,5,4,2,3,0,0,4,2,2,2,0,4,0,0,0,0,0,0,11,1,4,0,0,4,4,4,1,0,2,-5,0,1,11,0,1,2,1,0,0,0,2,1,0,3,2,1,3,2,0,0,2,3
2017-10-05 16:57:39,4,0,2,0,0,5,1,1,1,2,2,0,0,2,9,4,6,1,3,0,7,0,4,-5,11,5,4,0,4,1,3,1,3,2,5,7,13,1,0,0,2,1,0,3,3,0,3,0,1,2,0,4,2,0,3,0,2,0,1,1,9,2,6,3,0,0,3,2,7,5,-5,1,2,0,2,2,1,2,2,3,1,2,4,0,2,0,-5,3,7,3,2,0,1,0,0,0,3,4,0,0,1,4,4,4,6,7,2,2,1,0,4,2,4,1,0,5,2,0,1,0,1,0,3,0,3,0,4,1,4,3,0,2,3,6,1,2,0,0,0,0,0,0,1,0,1,2,1,0,4,6,4,0,1,3,7,2,2,4,0,0,2,9,2,1,0,0,5,1,1,1,4,4,0,1,0,1,9,0,10,0,1,7,8,0,-5,3,5,4,3,3,0,0,4,2,2,2,0,4,0,0,0,0,0,0,11,1,4,0,0,4,3,4,1,0,2,-5,0,1,11,0,1,2,1,0,0,0,2,1,0,3,2,1,3,2,0,0,3,3
2017-10-05 16:59:39,4,0,2,0,0,5,1,1,1,4,2,1,0,2,9,4,6,1,3,0,7,0,4,-5,11,5,4,0,4,1,3,1,3,2,7,7,13,1,0,0,2,3,0,2,3,0,3,0,1,2,0,4,2,0,3,0,2,0,1,1,9,2,6,3,0,0,3,2,7,5,-5,1,2,0,2,2,1,2,2,3,1,2,4,0,2,0,-5,3,8,3,2,0,1,0,0,0,3,4,0,0,1,5,4,4,4,7,2,2,1,0,4,2,4,1,0,5,2,0,1,0,1,0,3,0,2,0,4,1,4,3,0,2,2,6,1,2,0,0,0,0,0,0,1,0,1,2,1,0,4,6,4,0,0,3,7,2,2,4,0,0,1,10,2,2,0,0,5,1,1,1,4,4,0,1,0,1,9,0,10,0,1,7,8,0,-5,3,5,4,2,3,0,0,4,2,2,2,1,4,0,0,0,0,0,0,11,1,4,0,0,4,3,4,1,1,2,-5,0,0,10,0,1,2,1,0,0,0,2,1,0,3,2,0,3,2,0,0,2,3
2017-10-05 17:01:39,4,0,2,0,0,5,1,1,1,4,2,1,0,2,9,4,6,1,3,0,7,0,4,3,11,5,4,0,4,1,3,1,3,2,7,7,13,1,0,0,1,3,0,2,3,0,3,0,3,2,0,4,2,0,3,0,2,0,1,1,9,2,4,2,0,0,3,2,7,5,-5,3,2,0,3,2,1,2,2,3,1,2,4,0,2,0,-5,3,8,3,2,0,1,0,0,0,3,4,0,0,1,5,4,4,4,7,2,2,0,0,4,2,3,1,0,5,2,1,1,0,1,0,4,0,2,0,3,1,4,3,0,2,2,6,1,2,0,0,0,0,0,0,1,0,1,2,1,0,4,6,4,0,0,3,7,2,2,4,0,1,1,10,2,2,0,0,5,1,1,1,4,4,0,1,0,1,9,0,11,0,1,7,8,0,-5,3,5,4,2,3,0,0,4,2,1,2,1,4,0,0,0,0,0,0,10,1,4,0,0,4,3,4,1,3,1,-5,0,0,9,0,1,2,1,0,0,0,2,1,0,3,2,0,3,1,0,0,2,3
2017-10-05 17:03:39,4,0,2,0,0,5,1,2,0,4,3,1,0,2,9,4,6,1,3,0,6,0,4,4,11,5,4,0,3,1,3,1,3,2,7,7,13,1,0,0,3,1,0,2,3,0,3,0,3,2,0,4,2,0,3,0,2,0,1,1,9,2,2,2,0,0,3,2,7,5,-5,3,2,0,3,2,1,2,2,4,1,2,4,0,2,0,-5,3,8,3,2,0,0,0,0,1,3,4,0,0,1,5,3,4,4,7,2,2,0,0,4,2,3,1,0,5,2,1,1,0,1,0,4,0,2,0,4,1,4,3,0,2,3,6,1,2,0,0,0,0,0,0,1,0,1,2,1,0,4,6,4,0,0,3,7,2,2,4,0,1,1,9,2,1,0,0,5,1,1,1,4,4,0,1,0,1,9,0,11,0,1,7,7,0,-5,3,5,4,2,4,0,0,4,2,1,2,1,5,0,0,0,0,0,0,8,1,4,0,0,4,2,4,1,1,1,-2,0,0,9,0,1,2,1,0,1,0,2,1,0,3,2,0,2,1,0,0,2,3
2017-10-05 17:05:39,4,0,4,0,0,5,1,3,0,4,3,1,0,2,9,4,6,1,3,0,6,0,4,-5,11,5,4,0,3,1,3,1,3,2,7,6,13,1,0,0,3,1,0,2,3,0,3,0,3,2,0,4,2,0,3,0,2,0,1,1,9,2,2,3,0,0,3,2,7,5,-5,2,2,0,3,2,1,2,2,3,1,2,4,0,2,0,-5,3,6,1,2,0,0,0,0,1,3,4,0,0,1,5,4,4,4,7,2,2,0,0,4,2,3,1,0,5,1,1,1,0,1,0,4,0,2,0,4,1,4,1,0,2,3,6,1,2,0,0,0,0,0,0,1,0,1,2,1,0,3,7,4,0,0,3,6,2,2,4,0,1,1,9,2,2,0,0,5,1,1,1,4,4,0,1,0,1,9,0,11,0,1,7,6,0,-5,4,5,5,2,3,0,0,4,2,1,2,0,5,0,0,0,0,0,1,9,1,4,0,0,4,2,4,1,1,1,10,0,0,8,0,1,2,1,0,1,0,2,1,0,3,2,0,1,1,0,0,2,3
2017-10-05 17:07:39,4,0,4,0,0,5,1,4,0,4,3,1,0,2,9,4,6,1,3,-5,6,0,4,-5,11,5,4,0,4,1,3,1,3,2,7,6,13,1,0,0,3,1,0,2,3,0,2,0,3,2,0,4,2,0,3,0,2,0,1,1,9,2,2,3,0,0,4,2,7,5,-5,2,2,0,3,2,1,2,2,2,1,2,4,0,2,0,-5,2,6,1,2,0,0,0,0,1,3,4,0,0,1,5,4,4,4,7,2,3,0,0,4,2,3,1,0,5,1,1,1,0,1,0,5,0,2,0,6,1,4,2,0,2,3,6,1,2,0,0,0,0,0,0,1,0,1,1,1,0,4,6,4,0,0,3,6,2,2,4,0,1,1,9,2,2,0,0,5,1,1,1,4,4,0,1,0,1,9,0,11,0,1,7,6,0,-5,4,5,5,2,5,0,0,4,2,1,2,1,5,0,0,0,0,0,1,8,2,4,0,0,4,2,4,1,1,1,10,0,0,8,0,1,2,1,0,1,0,2,1,0,3,2,0,1,1,0,0,2,3
2017-10-05 17:09:39,4,0,4,0,0,5,1,3,0,4,1,1,0,2,9,4,6,1,3,-5,6,0,4,4,11,4,4,0,4,1,3,1,3,2,7,6,13,1,1,0,3,1,0,2,3,0,2,0,3,2,0,4,2,0,3,0,2,0,1,1,9,2,2,3,0,0,4,2,7,5,-5,2,2,0,3,2,1,2,2,3,1,2,4,0,2,0,-5,2,6,1,2,0,0,0,0,1,3,4,0,0,1,5,4,4,4,7,2,3,0,0,4,2,3,1,0,5,1,1,1,0,1,0,5,0,2,0,6,1,4,5,0,2,3,6,1,2,0,0,0,0,0,0,1,0,1,1,1,0,-5,6,3,0,0,3,7,2,2,4,0,1,1,9,1,1,0,0,5,1,1,1,4,4,0,1,0,2,10,0,11,0,1,7,6,0,-5,4,5,4,2,5,0,0,4,2,1,2,1,5,0,0,0,0,0,1,7,1,4,0,0,4,2,4,1,1,1,-5,0,0,8,0,1,2,0,0,1,0,2,1,0,3,2,0,1,1,0,0,2,3
2017-10-05 17:11:39,4,0,4,0,0,5,0,3,0,5,2,1,0,2,9,4,6,1,3,-5,6,0,4,-5,11,4,4,0,4,1,3,1,2,2,7,6,13,1,1,1,3,1,0,2,3,0,2,0,2,2,1,4,1,0,3,0,2,0,1,2,9,2,2,2,0,0,4,3,7,5,-5,2,2,0,3,2,1,2,2,2,1,2,4,0,2,0,-5,2,6,0,2,0,0,1,0,1,3,4,0,0,1,5,4,4,4,7,2,3,0,0,4,2,3,1,0,5,1,1,1,0,1,0,5,0,3,0,6,1,4,4,0,3,3,6,1,2,0,0,0,0,0,0,1,0,1,1,1,0,-5,6,3,0,0,3,7,2,2,4,0,1,1,9,1,2,0,0,5,1,1,1,4,4,0,1,0,1,10,0,11,0,1,7,6,0,-5,4,5,4,2,4,0,0,4,2,1,2,1,3,0,0,0,0,0,0,7,0,3,0,1,-5,2,4,1,1,1,11,0,0,8,0,1,2,0,0,0,0,2,1,0,3,2,0,1,1,0,0,2,3
2017-10-05 17:13:39,4,0,4,0,0,5,0,3,0,5,2,1,0,2,9,4,6,1,3,0,6,0,4,6,11,4,4,0,4,1,3,1,2,2,7,4,13,1,1,1,1,1,0,2,3,0,2,0,1,2,1,4,1,0,3,0,2,0,1,2,9,2,2,2,0,0,4,3,7,5,-5,3,2,0,3,2,1,2,2,2,1,2,4,0,2,0,-5,2,5,0,2,0,0,1,0,1,3,2,0,0,1,5,4,4,4,7,2,2,0,0,4,2,3,1,0,5,0,1,1,0,1,0,5,1,3,0,5,1,4,3,0,3,2,6,1,2,0,0,0,0,0,0,1,0,1,1,1,0,5,6,3,0,0,3,7,2,2,4,0,1,1,9,2,2,0,0,5,1,1,2,4,4,0,1,0,1,10,0,11,0,1,7,6,0,-5,4,5,4,2,6,0,0,5,2,1,2,0,3,0,0,0,0,0,0,7,0,3,0,1,4,2,4,1,0,1,10,0,0,8,0,1,2,0,0,0,0,2,1,0,3,2,0,1,1,0,0,2,3
2017-10-05 17:15:39,4,0,3,0,0,5,0,1,0,5,2,1,0,2,9,4,6,1,3,0,6,0,4,5,11,4,4,0,4,1,3,1,2,2,8,4,13,1,1,1,0,1,0,2,3,0,2,0,0,2,1,4,1,0,3,1,2,0,1,2,9,2,2,2,0,0,4,3,7,5,-5,3,2,0,3,2,1,2,2,3,1,2,4,0,1,0,-5,2,7,0,2,0,0,1,0,1,2,2,0,0,1,5,4,4,4,7,2,2,0,0,4,2,3,1,0,5,1,1,0,0,-5,0,4,1,3,0,5,1,3,3,0,3,2,5,1,2,0,0,0,0,0,0,1,1,1,1,1,0,5,8,3,0,0,3,7,2,2,4,0,1,0,8,2,1,0,1,5,1,1,2,4,4,0,1,0,1,10,0,11,1,2,7,5,0,-5,4,5,4,2,3,0,0,5,2,0,2,0,3,0,0,0,0,0,0,7,0,3,0,1,4,2,4,1,0,1,-5,0,0,8,0,1,2,0,0,0,0,2,2,0,3,2,0,1,1,0,0,2,3
2017-10-05 17:17:39,4,0,3,0,0,5,0,2,0,5,2,1,0,2,9,4,6,1,3,0,7,0,4,4,11,5,4,0,4,1,3,1,2,2,8,3,13,1,2,1,0,1,0,2,3,0,2,0,0,2,1,4,1,0,3,0,2,0,1,2,9,2,3,2,0,0,4,3,7,5,-5,3,2,0,3,2,1,2,2,2,1,2,4,0,0,0,-5,2,5,0,2,0,0,1,0,1,2,2,0,0,1,5,4,4,4,7,2,2,0,0,4,2,3,1,0,5,1,1,0,0,-5,0,4,0,3,0,5,1,3,2,0,3,2,5,1,2,0,0,0,0,0,0,1,1,1,1,1,0,5,8,3,1,0,3,7,3,3,4,0,1,1,3,2,2,0,1,5,1,1,2,4,4,0,1,0,1,10,0,11,1,2,7,6,0,-5,4,5,4,2,2,0,0,4,2,0,2,0,3,0,0,0,0,0,0,7,0,3,0,1,4,2,4,2,0,1,-5,0,0,9,0,0,2,0,0,0,0,2,2,0,3,2,0,1,1,0,0,2,3
2017-10-05 17:19:39,4,0,3,0,0,5,0,5,1,6,2,1,0,2,9,4,6,1,3,0,7,0,4,4,11,5,4,0,4,1,3,1,2,2,8,2,12,1,1,0,0,1,0,2,3,0,2,0,0,2,2,4,0,0,3,0,2,0,1,2,9,2,3,2,0,0,4,3,7,5,-5,3,2,0,3,2,1,2,1,2,1,2,4,0,0,0,-5,2,2,2,2,0,0,1,0,1,2,2,0,0,1,5,4,4,4,8,2,2,0,0,4,2,3,1,0,5,1,1,0,0,-5,0,4,0,3,0,5,1,3,0,0,3,3,5,1,2,0,0,0,0,0,0,1,1,1,1,1,0,4,8,3,1,0,3,9,3,3,4,0,1,1,2,2,2,0,1,5,1,1,2,4,4,0,1,0,1,10,0,11,1,2,7,6,0,-5,4,5,4,2,2,0,0,4,2,0,2,0,3,0,0,0,0,0,0,7,0,2,0,1,4,2,4,2,0,1,-5,0,0,9,0,0,1,0,0,0,0,2,1,0,3,2,0,2,1,0,0,2,3
